machine learning trainer start

Train on grammar, test on new data: Accuracy=20/115=17% HammingGain=335/469=70% Precision=93% Recall=75% F1=83% timePerSample=2[ms]
Train on grammar-single1, test on new data: Accuracy=63/115=55% HammingGain=392/470=82% Precision=94% Recall=88% F1=91% timePerSample=2[ms]
Train on grammar-single1-multi2, test on new data: Accuracy=64/115=56% HammingGain=406/471=85% Precision=94% Recall=91% F1=93% timePerSample=2[ms]
Train on grammar-single1-multi1-multi2, test on new data: Accuracy=63/115=55% HammingGain=404/472=85% Precision=94% Recall=91% F1=92% timePerSample=2[ms]
Train on grammar data, test on woz single class: Accuracy=218/298=73% HammingGain=220/314=68% Precision=93% Recall=74% F1=82% timePerSample=0[ms]
Train on grammar data, test on woz multi class: Accuracy=21/99=21% HammingGain=210/321=63% Precision=93% Recall=69% F1=79% timePerSample=1[ms]
Train on woz single class, test on woz multi class: Accuracy=78/99=79% HammingGain=276/308=89% Precision=99% Recall=91% F1=95% timePerSample=1[ms]
Train on woz multi class, test on woz single class: Accuracy=248/298=83% HammingGain=294/359=78% Precision=83% Recall=99% F1=90% timePerSample=0[ms]
Train on mixed, test on mixed: Accuracy=155/198=78% HammingGain=286/339=83% Precision=91% Recall=92% F1=92% timePerSample=0[ms]
Train on mixed, test on mixed (2): Accuracy=156/199=78% HammingGain=255/311=81% Precision=92% Recall=88% F1=90% timePerSample=0[ms]

start 3-fold cross-validation on 56 grammar samples and 555 collected samples
partition #0: 1 [ms]
partition #1: 3262 [ms]
partition #2: 6504 [ms]

end 3-fold cross-validation: 9749 [ms]

MICRO AVERAGE SUMMARY: Accuracy=363/555=65% HammingGain=731/995=72% Precision=92% Recall=78% F1=85% timePerSample=18[ms]

Building classifier for Employer

start training on 611 samples
end training on 611 samples, 4410 [ms]

test on training data:
	"I offer no agreement about the salary": expected {"Offer":{"Salary":"No agreement"}} but got 
	"I offer no agreement about the job description": expected {"Offer":{"Job Description":"No agreement"}} but got 
	"I offer no agreement about the pension fund": expected {"Offer":{"Pension Fund":"No agreement"}} but got 
	"I offer no agreement about the company car": expected {"Offer":{"Leased Car":"No agreement"}} but got 
	"I offer no agreement about the promotion track": expected {"Offer":{"Promotion Possibilities":"No agreement"}} but got 
	"I offer no agreement about the working hours": expected {"Offer":{"Working Hours":"No agreement"}} but got 
	"I accept your offer about the salary": expected {"Accept":"Salary"} but got 
	"I accept your offer about the job description": expected {"Accept":"Job Description"} but got 
	"I accept your offer about the pension fund": expected {"Accept":"Pension Fund"} but got 
	"I accept your offer about the company car": expected {"Accept":"Leased Car"} but got 
	"I accept your offer about the promotion track": expected {"Accept":"Promotion Possibilities"} but got 
	"I accept your offer about the working hours": expected {"Accept":"Working Hours"} but got 
	"I reject your offer about the salary": expected {"Reject":"Salary"} but got 
	"I reject your offer about the job description": expected {"Reject":"Job Description"} but got 
	"I reject your offer about the pension fund": expected {"Reject":"Pension Fund"} but got 
	"I reject your offer about the company car": expected {"Reject":"Leased Car"} but got 
	"I reject your offer about the promotion track": expected {"Reject":"Promotion Possibilities"} but got 
	"I reject your offer about the working hours": expected {"Reject":"Working Hours"} but got 
	"I insist on my offer about the salary": expected {"Insist":"Salary"} but got 
	"I insist on my offer about the job description": expected {"Insist":"Job Description"} but got 
	"I insist on my offer about the pension fund": expected {"Insist":"Pension Fund"} but got 
	"I insist on my offer about the company car": expected {"Insist":"Leased Car"} but got 
	"I insist on my offer about the promotion track": expected {"Insist":"Promotion Possibilities"} but got 
	"I insist on my offer about the working hours": expected {"Insist":"Working Hours"} but got 
	"What is your offer about the salary?": expected {"Query":"Salary"} but got 
	"What is your offer about the job description": expected {"Query":"Job Description"} but got 
	"What is your offer about the pension fund": expected {"Query":"Pension Fund"} but got 
