absence,presence
abundant,scarce
accept,refuse
accurate,inaccurate
admit,deny
advance,retreat
advantage,disadvantage
agree,disagree
alive,dead
ally,enemy
always,never
ancient,modern
answer,question
approached,receded
approval,disapproval
arrival,departure
artificial,natural
ascend,descend
asleep,awake
attack,defense
attention,inattention
attractive,repulsive
backward,forward
bad,good
beautiful,ugly
beginning,ending
below,above
bend,straighten
bent,straight
best,worst
better,worse
big,small
bitter,sweet
blame,praise
bless,curse
blunt,sharp
bold,timid
borrow,lend
bravery,cowardice
bright,dull
broad,narrow
build,destroy
calm,troubled
capable,incapable
captivity,freedom
careful,rush
cellar,attic
cheap,expensive
clear,vague
clever,stupid
clockwise,counterclockwise
close,distant
cold,hot
combine,separate
come,go
comfort,discomfort
common,rare
conceal,reveal
correct,incorrect
courage,cowardice
courteous,rude
cruel,kind
cunning,simple
dainty,clumsy
danger,safety
dark,light
decrease,increase
deep,shallow
definite,indefinite
demand,supply
despair,hope
disappear,appear
discourage,encourage
disease,health
dismal,cheerful
doctor,patient
dry,wet
dull,bright
dusk,dawn
early,late
East,West
easy,difficult
ebb,flow
economise,waste
employer,employee
empty,full
encourage,discourage
end,beginning
entrance,exit
excited,calm
expand,contract
export,import
exterior,interior
external,internal
fail,succeed
false,true
famous,unknown
fast,slow
fat,thin
feeble,powerful
few,many
find,lose
first,last
fold,unfold
foolish,wise
forelegs,hind_legs
forget,remember
fortunate,unfortunate
found,lost
frank,secretive
freedom,captivity
frequent,seldom
fresh,stale
friend,enemy
full,empty
gather,distribute
generous,mean
gentle,rough
giant,dwarf
glad,sorry
gloomy,cheerful
granted,refused
great,minute
guardian,ward
guest,host
guilty,innocent
happy,sad
hard,soft
harmful,harmless
hasten,dawdle
hate,love
healthy,unhealthy
heavy,light
height,depth
here,there
hero,coward
hill,valley
hinder,help
honest,dishonest
horizontal,vertical
humble,proud
hunger,thirst
imitation,genuine
immense,tiny
imprison,free
include,exclude
increase,decrease
inferior,superior
inhabited,uninhabited
inhale,exhale
inside,outside
intelligent,unintelligent
intentional,accidental
interesting,uninteresting
interior,exterior
internal,external
join,separate
junior,senior
justice,injustice
king,subject
knowledge,ignorance
land,sea
landlord,tenant
large,little
last,first
laugh,cry
lawful,unlawful
lawyer,client
lazy,industrious
leader,follower
lecturer,student
left,right
lender,borrower
lengthen,shorten
less,more
light,dark
like,dislike
likely,unlikely
little,large
lofty,lowly
long,short
loss,find
loud,soft
low,high
loyal,disloyal
mad,sane
magnetize,demagnetize
master,servant
mature,immature
maximum,minimum
me,you
merry,mirthless
minority,majority
miser,spendthrift
misunderstand,understand
narrow,wide
near,far
neat,untidy
new,old
night,day
noisy,quiet
North,South
obedient,disobedient
odd,even
offer,refuse
open,shut
optimist,pessimist
out,in
parent,child
past,present
patient,impatient
peace,war
permanent,temporary
please,displease
plentiful,scarce
poetry,prose
polite,impolite
possible,impossible
poverty,wealth
powerful,feeble
pretty,unsightly
private,public
prudent,imprudent
pure,impure
qualified,unqualified
rapid,slow
regularly,irregularly
rich,poor
right,wrong
rigid,pliable
rough,smooth
satisfactory,unsatisfactory
scatter,collect
secondhand,new
security,insecurity
sense,nonsense
serious,trivial
shopkeeper,customer
simple,complicated
singular,plural
slim,thick
sober,drunk
solid,liquid
sorrow,joy
sour,sweet
sow,reap
speaker,listener
stand,lie
straight,crooked
strong,weak
success,failure
sunny,cloudy
take,give
tall,short
tame,wild
teacher,pupil
thick,thin
tight,slack
top,bottom
transparent,opaque
truth,lie
up,down
vacant,occupied
valuable,valueless
victory,defeat
virtue,vice
visible,invisible
voluntary,compulsory
vowel,consonant
wax,wane
wisdom,folly
within,without
